Protegido,Controlado,Autoaislado,Individualista,Simbólico,CC
9.492432579719905e-22,0.0032152157534537707,4.722156305997477e-22,0.9460736298423622,0.050711154404184146,8709031
0.029191382799217278,0.9693254077778581,3.8000784777580895e-24,1.9464650962849358e-07,0.0014830147764150225,8709034
3.806284044673872e-18,3.434033431956725e-09,1.1057598019824776e-14,2.249448478460379e-17,0.9999999965659554,8709036
0.029191382799217278,0.9693254077778581,3.8000784777580895e-24,1.9464650962849358e-07,0.0014830147764150225,8709055
0.033231834478927205,0.9209866276292242,2.2889297968644642e-24,1.7531607278643807e-09,0.045781536138687975,8709056
3.39407668283415e-07,0.7937688740930716,3.5217424198045656e-22,5.812484277247529e-07,0.20623020525083224,8709003
0.9999628416462045,3.6994299815898953e-05,5.958926203596436e-27,2.3544402786410222e-20,1.6405397946941274e-07,8709011
4.610762346639549e-19,0.06288113697867796,8.930875435649844e-24,0.8886409511731433,0.04847791184817874,8709016
2.193918677144713e-22,0.010249229720716214,1.447267203184985e-24,0.9835584227631184,0.006192347516165431,8709025
1.1602007148434673e-05,0.9878864391283437,3.967668591768549e-23,1.3502079837442756e-06,0.012100608656524238,8709012
4.102265365142469e-21,0.0006703279348637904,1.5017747060495955e-25,0.9993137664788277,1.5905586308526714e-05,8709013
0.9409259663503178,0.0329574100882738,5.0156308685618345e-25,5.331060629650952e-18,0.02611662356140839,8709050
6.785717929434992e-06,0.9917627697034406,2.311315157554063e-24,8.852905848454044e-07,0.008229559288045201,8709051
0.00138156711712093,0.9986025374494822,5.150767447808164e-19,1.4717473692059277e-07,1.5748258659964384e-05,9901006
4.5050544048521896e-12,3.7041134273711256e-05,9.357268510159829e-11,0.9999629583691203,3.985281030636822e-10,10101013
2.193918677144713e-22,0.010249229720716214,1.447267203184985e-24,0.9835584227631184,0.006192347516165431,10101014
8.900190286347813e-22,0.0027370604283416694,1.7693678275709003e-07,0.9971360587191026,0.00012670391577295807,12701007
2.5309166548255804e-06,0.9999905237604196,7.832061493615052e-11,6.345291377764969e-06,5.999532272830016e-07,13402013
0.8570804980444761,0.13956278682494147,1.3363838708820968e-23,3.948421612388743e-16,0.003356715130582073,14501052
1.2815033941336118e-16,0.00976102792441958,0.00029515347582573123,0.8040678766062559,0.18587594199349877,14501031
1.3605989167843285e-05,0.9998640465162311,5.379845930330814e-09,4.347615355317236e-06,0.00011799449939987097,14501010
7.283655722469677e-08,3.287526133152983e-06,0.9999966396144454,2.2858935172984154e-11,5.17189691693768e-15,14501015
0.17070777514221022,0.8292264428523399,1.5529603980822708e-09,6.454372915119443e-05,1.2367233381049477e-06,14501037
6.785717929434992e-06,0.9917627697034406,2.311315157554063e-24,8.852905848454044e-07,0.008229559288045201,14501041
4.779711230534773e-13,0.005340242803864646,1.5128001429082792e-22,0.8546246279944063,0.1400351292012511,14501045
0.003956878825356487,0.9654922254274669,3.74760314899727e-08,5.487779067378492e-10,0.030550857722367143,14501023
1.3630806789153945e-24,6.226064101507201e-09,0.7298168770080616,0.2701831129995456,3.7663285403168435e-09,14501024
2.5290797498333117e-22,6.725505511205978e-11,0.9999999770873881,2.284527566487146e-08,8.11691967605779e-14,14901001
2.4491187115167777e-23,5.765147042094745e-15,3.3807203872924654e-13,4.789248437728043e-22,0.999999999999656,15301001
3.9730496287546577e-19,0.09300573752331345,7.664898141020462e-25,0.858420488760115,0.04857377371657135,15801002
9.416513487632341e-09,0.023902999769301967,1.1390546554389638e-21,0.86052954773088,0.11556744308330451,17501001
0.011017096286975472,0.9889813824816847,1.302986520730497e-10,1.4117011902985122e-06,1.093998508409731e-07,17501007
3.7676893544691564e-16,0.0032595215795720098,6.31074368663575e-21,0.8992316591708064,0.09750881924962121,18901001
1.1287294379038785e-26,0.0023209063861052872,1.9482447477356402e-25,0.9900738240335597,0.007605269580334986,19301008
7.706987969757759e-15,0.00023321491386091292,7.163792109331168e-22,0.9994927888310091,0.00027399625512221967,19301020
6.4570190556281354e-06,0.7876406941119699,1.1636856847447117e-24,6.664960438176907e-09,0.21235284220401401,19301024
3.7676893544691564e-16,0.0032595215795720098,6.31074368663575e-21,0.8992316591708064,0.09750881924962121,19301025
4.960065409953848e-15,3.8683393444392174e-05,2.9789686889559894e-23,0.9999152304152849,4.608619126576276e-05,19301003
4.102265365142469e-21,0.0006703279348637904,1.5017747060495955e-25,0.9993137664788277,1.5905586308526714e-05,19301005
1.1602007148434673e-05,0.9878864391283437,3.967668591768549e-23,1.3502079837442756e-06,0.012100608656524238,90501027
7.853040428956857e-19,1.521653211191803e-08,2.03678541856558e-09,0.9999999824947406,2.5194178101620356e-10,90501045
