CC,feature,URB,shap_value,fold
301012,PPU,1,0.16403372148481288,0
301012,PPU,2,0.11159624926248583,0
301012,PPU,3,-0.17296261373687236,0
301012,PPU,4,0.14110633224836225,0
301012,PPU,5,-0.24377368925878867,0
301012,PRE,1,0.018269023496310613,0
301012,PRE,2,-0.013836847603026987,0
301012,PRE,3,-0.018593921062874982,0
301012,PRE,4,0.0007817607288837521,0
301012,PRE,5,0.013379984440707829,0
301012,PPR,1,-0.2332975082321338,0
301012,PPR,2,-0.019290583043682013,0
301012,PPR,3,-0.3065034356238246,0
301012,PPR,4,0.06415497429106108,0
301012,PPR,5,0.49493655260858244,0
301012,GSE,1,-0.00825585693494548,0
301012,GSE,2,0.07873760218085886,0
301012,GSE,3,-0.005352039014628321,0
301012,GSE,4,0.0016957094729688205,0
301012,GSE,5,-0.0668254157042541,0
301012,CSE,1,5.282301069040859,0
301012,CSE,2,-1.4372504872416383,0
301012,CSE,3,0.7496694772102434,0
301012,CSE,4,-4.22702261294599,0
301012,CSE,5,-0.3676974460634472,0
301012,BSE,1,-0.050770805991125885,0
301012,BSE,2,-0.01595498924798496,0
301012,BSE,3,0.04785428346186062,0
301012,BSE,4,0.014191846802553414,0
301012,BSE,5,0.004679664974696965,0
301012,ASE,1,3.606922560193994,0
301012,ASE,2,-2.7295723747966143,0
301012,ASE,3,-0.00018834765033533631,0
301012,ASE,4,-0.1559925196680942,0
301012,ASE,5,-0.7211693180789496,0
301028,CSS,1,0.26377301507186196,0
301028,CSS,2,0.22205798045926226,0
301028,CSS,3,-0.7868683771032348,0
301028,CSS,4,0.20218295646223955,0
301028,CSS,5,0.09885442510987315,0
301028,CFS,1,0.8314572215798246,0
301028,CFS,2,-0.9468800856025585,0
301028,CFS,3,2.8197353490636674,0
301028,CFS,4,-0.5516468700395964,0
301028,CFS,5,-2.152665615001351,0
301028,CPE,1,0.041096057041677306,0
301028,CPE,2,0.014295279640003992,0
301028,CPE,3,-0.10838721431412209,0
301028,CPE,4,0.005722479736800439,0
301028,CPE,5,0.04727339789564012,0
301028,LIN,1,0.1260364863421757,0
301028,LIN,2,0.1296541249749983,0
301028,LIN,3,-0.13523624927440625,0
301028,LIN,4,0.027266585530069044,0
301028,LIN,5,-0.14772094757283727,0
301028,LEX,1,0.025198110983757308,0
301028,LEX,2,-0.16722033954630575,0
301028,LEX,3,0.02580041015663667,0
301028,LEX,4,0.22266204087910807,0
301028,LEX,5,-0.1064402224731912,0
301028,DIS_1,1,0.2207147637747583,0
301028,DIS_1,2,-0.9795869042239285,0
301028,DIS_1,3,1.495825395576752,0
301028,DIS_1,4,-0.247927030740207,0
301028,DIS_1,5,-0.48902622438737453,0
301028,DIS_2,1,0.0395373763847419,0
301028,DIS_2,2,-0.020638001058048965,0
301028,DIS_2,3,-0.2509422203908921,0
301028,DIS_2,4,0.03452857059750168,0
301028,DIS_2,5,0.19751427446669723,0
301028,DIS_3,1,-0.2868816075933171,0
301028,DIS_3,2,-0.8890090623240975,0
301028,DIS_3,3,4.268766079077632,0
301028,DIS_3,4,-0.5488036296562198,0
301028,DIS_3,5,-2.5440717795040033,0
301028,VER,1,-0.2574636334360184,0
301028,VER,2,-0.38328323648846085,0
301028,VER,3,-0.07154325822242165,0
301028,VER,4,0.16930501057068525,0
301028,VER,5,0.5429851175762234,0
301028,MUR,1,0.007755584620109551,0
301028,MUR,2,0.16357504408880533,0
301028,MUR,3,-0.14777824780579535,0
