CC,MUN,LAT,LON,YEAR,SUP,NVIV,VAI,VPA,VAD,PMC,PMA,CON,PIS,PTP,PBA,CFU,CGO,GIM,PAR,MOB,JAR
8401014,GOJAR,446345.997,4106764.15,2006,1996.0,41,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
8401016,GOJAR,446058.153,4106550.178,2004,2220.0,39,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
8401017,GOJAR,446132.024,4106539.989,2007,1342.0,23,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
8401018,GOJAR,446075.984,4106461.023,1995,2489.0,31,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8401002,GOJAR,446328.166,4107767.781,2008,48897.81999999998,71,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1
8401005,GOJAR,446707.711,4107688.815,2017,100573.41999999997,95,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8401006,GOJAR,446804.508,4107041.805,2017,149386.47999999984,138,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8401007,GOJAR,446985.366,4106990.859,2002,7829.589999999999,13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8401009,GOJAR,446190.612,4107133.507,2008,3971.0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8401011,GOJAR,446412.226,4106583.293,1997,2944.0,95,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
8401012,GOJAR,446256.842,4106860.947,2000,6791.0,95,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
8401013,GOJAR,446264.483,4106784.529,2001,6487.0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8401019,GOJAR,446638.935,4105994.87,2007,4407.0,19,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8401020,GOJAR,446455.53,4105544.0,2010,70503.45000000006,72,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
14501001,OGIJARES,443900.536,4108169.717,2008,4559.0,16,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
14501002,OGIJARES,444357.647,4108234.181,2000,3477.0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
14501003,OGIJARES,444152.533,4108770.407,1986,6213.79,15,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8701002,GRANADA,445233.44,4115089.861,1995,3013.0,25,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
8701003,GRANADA,446134.396,4114396.341,1986,1958.0,95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8701001,GRANADA,445673.721,4114555.204,2017,5624.0,159,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702014,GRANADA,446565.492,4113377.918,1984,6956.0,95,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702011,GRANADA,446363.664,4113453.726,1990,6782.570000000001,123,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702001,GRANADA,446820.484,4113628.971,1992,5005.0,51,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8702025,GRANADA,446676.743,4113142.616,1983,4050.0,44,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
8702026,GRANADA,446744.675,4113090.437,1985,9214.0,111,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
8702027,GRANADA,446792.917,4113088.468,2003,2958.0,59,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
8702028,GRANADA,447007.543,4112815.754,1981,2360.0,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8702029,GRANADA,447068.584,4112813.785,1980,4209.0,108,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
8702051,GRANADA,446837.056,4111657.088,2009,5816.0,126,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
